UNITID,cs_stat,cs_pval,noncs_stat,noncs_pval,quadrant
107983,-0.39581335142011653,0.22820029153684335,0.7785267381588369,0.004760463069534866,3
108092,0.3998305465537032,0.2230827243705227,0.9463022747787879,1.043483897619708e-05,1
108232,0.15066002106667126,0.6583639321644746,0.9058765446694377,0.00012287796912754413,1
109785,-0.06554058471545349,0.8481700464963803,0.9654368352469126,1.4775521769485717e-06,3
110097,0.5691349910185423,0.06764581596889868,0.8502766992233278,0.000912891636767932,1
110404,0.41970107469910656,0.19877010935398942,0.7993665914324936,0.003151914492832099,1
110413,0.49587054310029605,0.1208533155965855,0.9547467274186394,4.891691139836739e-06,1
110422,0.33222292913133794,0.3181917632956877,0.9122695806346713,9.039081490243968e-05,1
110486,-0.0946050526532799,0.7820241482648498,0.9515360152033395,6.628084583824954e-06,3
110495,0.8095261245961644,0.0025341357236776762,0.9815598800224976,8.950452942527068e-08,1
110510,0.8824725500744559,0.00032233725247694025,0.9860779349102266,2.543321170928362e-08,1
110529,0.33997288938687165,0.30633089371718003,0.989730409118195,6.501378017090937e-09,1
110538,0.8506489104007364,0.0009032330009507279,0.991970799882505,2.1549612938271177e-09,1
110547,0.6404244322355783,0.03377366176851378,0.9872392757151907,1.72147007620935e-08,1
110556,0.5263823708412606,0.09622960227160658,0.9961668962146917,7.780488584124517e-11,1
110565,0.5526410937347306,0.07788404854067865,0.9870104750238458,1.8641775050355232e-08,1
110574,0.7802761046656853,0.004606123331212767,0.9948382768861637,2.963315331765188e-10,1
110583,0.39161172802404043,0.23362554745083589,0.9845191042210201,4.0911221051423426e-08,1
110592,0.9190733534681849,6.349336706878503e-05,0.981281993589897,9.569788256446327e-08,1
110608,0.9378549573811356,1.9890451542162172e-05,0.9904884914918499,4.6090532843011134e-09,1
110617,0.6161202180300211,0.04354186600196726,0.9937510467325595,6.992893681158701e-10,1
110635,-0.19935939587177864,0.5567389340851283,0.9619682458035248,2.2607584450279952e-06,3
110644,0.017450664430669657,0.9593856294104899,0.9887312964988706,9.858827547439586e-09,1
110653,0.7447443775638066,0.008551791528374368,0.9432501247150413,1.33225851867553e-05,1
110662,-0.6061037679214758,0.04808234872437993,0.9882086300837571,1.2081066010800928e-08,3
110671,0.3094484546072578,0.35444292867058746,0.7581480061301169,0.006852016862724288,1
110680,-0.04810232772790472,0.8883095018214388,0.8955895559630962,0.0001929919321740718,3
110705,-0.4626177324977079,0.1519202701876441,0.7582163667682684,0.0068440413108472,3
110714,0.40551847694148696,0.2159531435720381,0.8654245033814232,0.0005779740582100609,1
111948,-0.15252226854877407,0.6543670501306161,0.9015934762992668,0.00014916907531956156,3
112260,0.018333969940564243,0.9573314129916602,0.8524287877393094,0.0008581056647832874,1
115409,0.6122428797553912,0.045262687190565136,0.8435403539691488,0.0011015044534625532,1
115755,0.6650933133551693,0.025542183065824692,0.9819517366131518,8.130418586893884e-08,1
117140,0.4248597100009882,0.19273040917661305,0.8799055807121697,0.00035388837877679586,1
117627,0.7682141376602218,0.005749043839443761,0.9085581098173726,0.0001083213787664925,1
117946,0.34842860065787806,0.2936692088316838,0.29454692948146255,0.3792669481489415,1
118888,-0.25556798822008786,0.4481553008032585,0.6391401209160797,0.03424727372606402,3
119605,0.8281199753869608,0.0016424014329176854,0.8915282942867493,0.00022776445469930494,1
120184,-0.03481088747051911,0.9190674400236527,0.9773438211339732,2.2470161720441998e-07,3
120883,-0.11517301062687473,0.7359617600905468,0.5876484934655636,0.05728144279792891,3
121309,0.18504127811616594,0.585958338757807,0.9741182804112778,4.071094504063155e-07,1
