UNITID,cs_stat,cs_pval,noncs_stat,noncs_pval,quadrant
100654,0.1345248420364762,0.6933214802413767,0.6981137489718142,0.016890784285994446,1
100663,0.2669056621906693,0.42754465865711455,0.4075394747296781,0.21345276026269008,1
100706,0.4507347532800706,0.16412225908744293,-0.7477934765526445,0.008140732344817566,2
100724,-0.18931425232022336,0.5771774189654248,0.12301178518958879,0.7186017506267842,3
100751,0.6449476366090807,0.03214213078907616,0.9029524518401798,0.0001404037820691893,1
100812,-0.3623220593726887,0.2735037824587017,0.44176995133265506,0.1737165248591224,3
100858,0.35949773480357966,0.2775384382173152,0.08838677837608117,0.7960816675587076,1
101116,-0.3526103579825262,0.28751581718319247,0.4964792516608115,0.12032626892139836,3
101189,0.17887474499925562,0.5987192222409173,-0.6956916740811103,0.0174410234190199,2
101480,-0.0008618382443366102,0.9979934617911652,-0.15625996988333646,0.646369557548862,4
101675,-0.12091801277435045,0.7232273713404528,-0.7212666888886919,0.01224122415334301,4
101879,0.6387810042835632,0.03438053030247855,0.26941511406273955,0.4230451433948608,1
101912,-0.17845765256206245,0.5995860667116866,-0.48475966195386083,0.13073456993550822,4
102049,0.04817283789089799,0.8881466669472176,0.5843095943703126,0.05906483968719361,1
102094,0.36611136594200466,0.2681426695500205,0.1479390789037906,0.6642182346203177,1
102298,-0.662902323457883,0.026208832627584236,-0.2306882528299246,0.49494977406342733,4
102368,-0.15018212327614314,0.6593909287626034,0.7054800965958273,0.01529381734513976,3
102377,0.5575764665077184,0.07471886710646088,0.7610399498566142,0.006520520480531038,1
102553,0.5364674713100128,0.08887969615043582,-0.6805467120037673,0.021176571219925656,2
102614,0.4151416435509443,0.20420161510394877,-0.326732084378057,0.3267422285300512,2
102845,0.5172542867853513,0.10321609780044212,0.780910113699807,0.00455110964945634,1
104151,0.5844271590723504,0.059001412475331035,-0.3734017446114056,0.2579965132519366,2
104179,0.9481623059292478,8.928317919787924e-06,0.4586019677441399,0.15597835890834275,1
105330,0.6321655504158862,0.03690057804493699,0.6613496071574749,0.026688655969278566,1
106245,0.5175066077123935,0.10301866322224836,0.7072595892270528,0.01492494184292549,1
106342,-0.49891663100112515,0.11823067085676224,-0.7604163380431147,0.006590986672779549,4
106397,0.9043507228561474,0.00013180069708122326,0.9690002792784107,9.101970296365673e-07,1
106412,-0.4663134789346067,0.14824441876150946,0.2517234797943589,0.4552475014791542,3
106458,-0.38468702337089206,0.242729041826041,0.3477193105156215,0.2947200525293589,3
106467,-0.03464341706499361,0.9194557029211913,0.07098370749139983,0.8357029010956641,3
106704,0.3702417593692763,0.262367090878044,0.6672266826169448,0.02490467754225435,1
107044,0.3976317195162084,0.22587541888715607,0.2508859007127078,0.45679948267495396,1
107071,-0.20465595024580763,0.5460807452446126,0.3942025600559874,0.23027140327268675,3
107080,-0.5655445314862899,0.06979246413634428,-0.02335880168196805,0.9456504224216065,4
107512,0.5393598899705936,0.08684229054535095,0.2526331624723711,0.4535646851802662,1
107600,-0.07676091407816019,0.8225076363442744,0.3060428157509012,0.36004026371045894,3
107983,0.007926520159306324,0.9815467535170284,-0.05769277319594731,0.8661994341275376,2
108092,0.2773240430742616,0.40901465518791663,-0.03841163845668932,0.9107234320447155,2
108232,0.6034445025183923,0.04934038699266651,0.6349338074056913,0.0358309116439992,1
109785,0.5906375899670987,0.05571630496753003,0.6501554177782469,0.03033303544191246,1
110097,-0.11418248670561158,0.7381634917599027,0.534064737152879,0.09059597101322653,3
110404,0.8749960186498263,0.000420699717483029,0.47678145724731485,0.13813739149018914,1
110413,-0.6628616903013641,0.026221310898054108,0.15619424864628503,0.6465098932866923,3
110422,0.9513997444140366,6.711030180082413e-06,0.7463251160240701,0.008336842607906219,1
